1	100	0	10	100	100	100	100	70	100	100	0	100	100	2
11	100	35	34	34	34	48	37	58	38	20	35	36	0	34
0	0	3	0	0	0	0	0	0	0	39	40	40	0	0
15	0	0	100	1	0	0	0	0	0	0	3	0	0	10
100	54	45	0	100	45	54	0	54	45	100	45	2	50	98
63	63	59	63	83	1	10	0	0	0	63	100	88	73	57
100	100	100	100	100	100	100	100	100	100	40	100	100	100	100
100	100	100	100	100	100	100	99	100	100	100	0	100	100	100
0	0	100	0	0	0	0	0	0	100	0	0	0	0	0
0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
10	100	100	10	100	100	100	99	2	100	100	100	100	1	100
6	12	7	0	7	93	29	0	22	100	2	100	6	20	6
0	0	100	85	0	6	0	0	3	0	0	20	100	0	2
75	91	29	30	0	38	73	73	10	73	84	76	100	100	84
0	100	0	100	0	0	4	14	100	100	0	0	100	100	100
yours																mine transposed														
0	0	1	1	0	1	1	1	0	1	0	0	0	0	1		1	11	0	15	100	63	100	100	0	0	10	6	0	75	0
1	1	0	1	0	1	1	1	1	1	0	0	0	0	0		100	100	0	0	54	63	100	100	0	0	100	12	0	91	100
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	35	3	0	45	59	100	100	100	0	100	7	100	29	0
1	1	1	1	1	1	1	1	1	1	0	0	1	0	0		10	34	0	100	0	63	100	100	0	0	10	0	85	30	100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		100	34	0	1	100	83	100	100	0	0	100	7	0	0	0
1	1	1	0	1	1	1	0	0	1	0	0	1	0	0		100	34	0	0	45	1	100	100	0	0	100	93	6	38	0
1	1	0	0	1	1	1	1	0	1	0	0	0	0	0		100	48	0	0	54	10	100	100	0	0	100	29	0	73	4
0	0	1	0	0	0	0	1	0	0	0	0	0	0	1		100	37	0	0	0	0	100	99	0	0	99	0	0	73	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		70	58	0	0	54	0	100	100	0	100	2	22	3	10	100
1	1	0	1	0	1	1	1	1	0	0	0	0	0	0		100	38	0	0	45	0	100	100	100	0	100	100	0	73	100
1	0	0	0	0	0	0	0	1	0	1	0	0	0	0		100	20	39	0	100	63	40	100	0	0	100	2	0	84	0
0	0	1	0	0	0	1	0	0	0	0	1	0	0	0		0	35	40	3	45	100	100	0	0	0	100	100	20	76	0
1	1	0	0	0	0	0	1	0	1	0	0	1	0	0		100	36	40	0	2	88	100	100	0	0	100	6	100	100	100
1	0	0	0	0	0	0	0	1	0	0	0	0	1	0		100	0	0	0	50	73	100	100	0	0	1	20	0	100	100
0	0	0	0	0	0	0	1	1	0	0	0	0	0	1		2	34	0	10	98	57	100	100	0	0	100	6	2	84	100
AND																mine discretized														
0	0	0	0	0	1	1	1	0	0	0	0	0	0	0		0	0	0	0	1	1	1	1	0	0	0	0	0	1	0
1	1	0	0	0	1	1	1	0	0	0	0	0	0	0		1	1	0	0	1	1	1	1	0	0	1	0	0	1	1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	1	1	1	0	1	0	1	0	0
0	0	0	1	0	1	1	1	0	0	0	0	1	0	0		0	0	0	1	0	1	1	1	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	1	1	1	1	0	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0		1	0	0	0	0	0	1	1	0	0	1	1	0	0	0
1	0	0	0	1	0	1	1	0	0	0	0	0	0	0		1	0	0	0	1	0	1	1	0	0	1	0	0	1	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	0	0	0	0	1	1	0	0	1	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	0	0	1	0	1	1	0	1	0	0	0	0	1
1	0	0	0	0	0	1	1	1	0	0	0	0	0	0		1	0	0	0	0	0	1	1	1	0	1	1	0	1	1
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0		1	0	0	0	1	1	0	1	0	0	1	0	0	1	0
0	0	0	0	0	0	1	0	0	0	0	1	0	0	0		0	0	0	0	0	1	1	0	0	0	1	1	0	1	0
1	0	0	0	0	0	0	1	0	0	0	0	1	0	0		1	0	0	0	0	1	1	1	0	0	1	0	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1	0	0	0	0	1	1	1	0	0	0	0	0	1	1
0	0	0	0	0	0	0	1	0	0	0	0	0	0	1		0	0	0	0	1	1	1	1	0	0	1	0	0	1	1
