34 of networks used
100	100	91	100	100	100	100	100	0	100	100	0	2	100	100	
73	73	5	20	8	55	73	0	0	70	0	73	73	0	73	
0	0	0	8	76	0	100	0	0	2	0	0	0	0	100	
100	100	8	100	100	100	100	100	0	100	100	100	100	100	100	
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
0	0	2	0	11	100	0	88	0	0	0	11	11	0	0	
11	100	100	0	100	100	97	100	100	100	100	100	100	100	100	
0	14	0	2	0	0	0	100	0	0	2	0	8	0	0	
100	0	100	0	0	0	0	0	100	0	0	0	0	100	0	
11	100	100	2	2	100	0	100	100	100	100	0	0	100	0	
32	0	11	0	0	0	0	0	88	20	100	0	2	5	2	
29	73	64	73	97	73	64	32	73	73	64	100	97	73	73	
35	0	0	8	0	0	0	0	55	38	0	0	100	0	2	
94	2	2	0	0	100	100	100	0	47	100	2	0	100	0	
35	35	5	35	35	55	47	55	50	50	50	50	5	11	100	
