0.6927804	0.1735119	0.3080785	0.5990709	0.1445523	0.2494241	0.5905584	0.636797	0.6891143	0.6944974
0.6137	0.0954328	0.2815777	0.6576991	0.2136285	0.3952169	0.2199619	0.5711943	0.684341	0.6816443
0.5923916	0.0704157	0.2896261	0.6349119	0.2556762	0.3336192	0.1706594	0.7645988	0.6408686	0.6201303
0.5868361	0.0880437	0.1935983	0.5846269	0.1315485	0.3849495	0.1213159	0.7072442	0.8166294	0.7047542
0.6293309	0.1149911	0.2186433	0.4509727	0.1687147	0.3736593	0.0786808	0.6970827	0.803821	0.6925731
0.5170203	0.0990501	0.2137598	0.4333604	0.1772348	0.3834565	0.1242939	0.7901656	0.7563581	0.7286596
0.4709636	0.1159865	0.289219	0.3898388	0.2365102	0.4000143	0.1323223	0.6791003	0.7090849	0.824954
0.6269998	0.080276	0.2997476	0.4384157	0.2065817	0.3912156	0.0792747	0.6322451	0.664113	0.7280306
0.5284701	0.1042932	0.2573068	0.3779466	0.1484264	0.2349554	0.1492018	0.792832	0.7596715	0.7133538
0.5110939	0.1482319	0.2196169	0.3494604	0.1235777	0.4213528	0.1158488	0.674044	0.7145425	0.7374688
0.4882966	0.1153365	0.3025012	0.4211469	0.2365731	0.4517705	0.1350158	0.6484841	0.7176833	0.6872276
0.6433641	0.1181288	0.3245931	0.4513658	0.2487479	0.307568	0.6042338	0.7092563	0.6728155	0.6264014
0.6171846	0.1228048	0.3060205	0.6388667	0.1447856	0.382343	0.6519328	0.8569027	0.8328277	0.6102972
0.8024419	0.0804874	0.398727	0.6134333	0.1544187	0.3415498	0.6791125	0.7222545	0.6930467	0.6109138
0.7804539	0.0871222	0.3594883	0.6801495	0.1578423	0.3402294	0.5099839	0.7069292	0.6455296	0.7232683
0.8290307	0.0996338	0.4407318	0.6614428	0.0912002	0.3014502	0.5312501	0.6374457	0.6898205	0.5949425
0.7490433	0.0988457	0.3369789	0.6225854	0.1013723	0.3563181	0.3978822	0.6009584	0.7440107	0.7923625
0.5887312	0.0482351	0.4387776	0.7599636	0.1361985	0.3467893	0.3892781	0.6715002	0.653354	0.7493886
0.6694072	0.107808	0.3228902	0.5764897	0.168397	0.3105481	0.4222378	0.7085699	0.6421272	0.6938667
0.7164183	0.0819181	0.2685038	0.7964334	0.1180917	0.2960746	0.5092373	0.7121105	0.6454818	0.6612289
0.8032117	0.119864	0.3146458	0.6352872	0.1803657	0.2432311	0.5376463	0.6763547	0.6253106	0.5716938
