2-5 and 14-21																																																
39 of networks used																Greater 50% threshold																	Greater 96% threshold															
2	100	0	2	100	100	100	100	66	100	100	0	100	100	0		0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	88		0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	71
10	100	7	7	7	7	23	15	35	28	20	7	10	0	7		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	5	0	0	0	0	0	0	0	12	15	15	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	0	100	0	0	0	0	0	0	0	2	0	0	2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
100	69	30	0	100	30	69	0	69	30	100	30	0	35	100		1	1	0	0	1	0	1	0	1	0	1	0	0	0	1			1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	
38	38	38	38	74	0	15	0	0	0	38	100	82	53	38		0	0	0	0	1	0	0	0	0	0	0	1	1	1	0			0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
100	100	100	100	100	100	100	100	100	100	17	100	100	100	100		1	1	1	1	1	1	1	1	1	1	0	1	1	1	1			1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
100	100	100	100	100	100	100	100	100	100	100	0	100	100	100		1	1	1	1	1	1	1	1	1	1	1	0	1	1	1			1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
0	0	100	0	0	0	0	0	0	100	0	0	0	0	0		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0			0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	100	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
15	100	100	0	100	100	100	100	2	100	100	100	100	2	100		0	1	1	0	1	1	1	1	0	1	1	1	1	0	1			0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	
7	15	7	0	7	92	25	2	17	100	5	100	7	20	7		0	0	0	0	0	1	0	0	0	1	0	1	0	0	0			0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
0	0	100	92	0	2	0	0	2	0	2	15	100	0	0		0	0	1	1	0	0	0	0	0	0	0	0	1	0	0			0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
76	94	23	28	0	35	74	74	10	74	84	74	100	100	84		1	1	0	0	0	0	1	1	0	1	1	1	1	1	1			0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
0	100	0	100	0	0	2	12	100	100	0	0	100	100	100		0	1	0	1	0	0	0	0	1	1	0	0	1	1	1			0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	
2-5 and 14-23																																																
70 of networks used																																	Greater 96% threshold															
1	100	0	10	100	100	100	100	72	100	100	0	100	100	1		0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	89		0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	71
11	100	15	14	14	14	32	18	37	25	17	14	17	0	14		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	2	0	0	0	0	0	0	0	17	18	18	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	100	1	0	0	0	0	0	0	2	0	0	10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
100	60	40	0	100	40	60	0	60	40	100	40	0	51	100		1	1	0	0	1	0	1	0	1	0	1	0	0	1	1			1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	
50	50	50	50	78	1	14	0	0	0	50	100	82	64	45		0	0	0	0	1	0	0	0	0	0	0	1	1	1	0			0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
100	100	100	100	100	100	100	100	100	100	31	100	100	100	100		1	1	1	1	1	1	1	1	1	1	0	1	1	1	1			1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
100	100	100	100	100	100	100	98	100	100	100	0	100	100	100		1	1	1	1	1	1	1	1	1	1	1	0	1	1	1			1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
0	0	100	0	0	0	0	0	0	100	0	0	0	0	0		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0			0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	100	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
10	100	100	10	100	100	100	100	4	100	100	100	100	1	100		0	1	1	0	1	1	1	1	0	1	1	1	1	0	1			0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	
8	12	8	0	10	91	34	1	17	100	2	100	8	18	8		0	0	0	0	0	1	0	0	0	1	0	1	0	0	0			0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
0	0	100	90	0	4	0	0	5	0	1	18	100	0	2		0	0	1	1	0	0	0	0	0	0	0	0	1	0	0			0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
74	91	27	32	0	38	71	71	12	71	84	72	100	100	84		1	1	0	0	0	0	1	1	0	1	1	1	1	1	1			0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
0	100	0	100	0	0	5	12	100	100	0	0	100	100	100		0	1	0	1	0	0	0	0	1	1	0	0	1	1	1			0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	
2-6 and 14-29																																																
125 of networks used																																	Greater 96% threshold															
1	100	0	11	100	100	100	100	69	100	100	0	100	100	2		0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	95		0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	71
