100	100	92	100	100	100	100	100	0	100	100	0	1	100	100	
45	91	49	14	3	35	90	0	0	90	1	46	63	46	90	
0	0	0	12	80	0	100	0	0	0	0	0	0	0	100	
100	100	6	100	100	100	100	100	0	100	100	100	100	100	100	
0	0	0	0	3	0	40	40	0	0	0	0	40	41	41	
0	0	3	2	23	100	1	80	2	1	1	22	23	3	3	
10	100	100	0	100	100	99	100	100	100	100	100	100	100	100	
0	19	1	2	0	0	0	100	0	0	6	0	6	0	0	
100	0	100	0	0	0	0	0	100	0	0	0	0	100	0	
10	100	100	1	0	100	0	100	100	100	100	0	0	100	0	
36	0	17	2	1	0	2	2	84	16	100	3	4	3	3	
30	67	57	70	90	67	55	30	67	70	56	100	92	67	70	
37	0	0	17	0	0	0	0	56	38	0	0	100	0	1	
87	0	5	3	2	100	100	100	0	50	100	0	0	100	0	
38	34	8	34	34	57	45	57	50	50	50	54	8	12	100	
