2-5 and 14-21
9 of networks used
100	100	66	100	100	100	100	100	0	100	100	0	11	100	100	
0	0	0	0	33	11	0	0	0	0	0	0	0	0	0	
0	0	0	11	44	0	100	0	0	11	0	0	0	0	100	
100	100	0	100	100	100	100	100	0	100	100	100	100	100	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	44	100	0	66	0	0	0	44	44	0	0	
11	100	100	0	100	100	100	100	100	100	100	100	100	100	100	
0	22	0	0	0	0	0	100	0	0	0	0	0	0	0	
100	0	100	0	0	0	0	0	100	0	0	0	0	100	0	
11	100	100	0	11	100	0	100	100	100	100	0	0	100	0	
11	0	22	0	0	0	0	0	77	11	100	0	0	11	11	
22	66	66	66	100	66	66	22	66	66	66	100	88	66	66	
66	0	0	22	0	0	0	0	11	66	0	0	100	0	0	
100	11	11	0	0	100	100	100	0	44	100	11	0	100	0	
33	33	22	33	33	77	55	77	44	55	55	66	22	22	100	
2-5 and 14-23
34 of networks used
100	100	91	100	100	100	100	100	0	100	100	0	2	100	100	
73	73	5	20	8	55	73	0	0	70	0	73	73	0	73	
0	0	0	8	76	0	100	0	0	2	0	0	0	0	100	
100	100	8	100	100	100	100	100	0	100	100	100	100	100	100	
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
0	0	2	0	11	100	0	88	0	0	0	11	11	0	0	
11	100	100	0	100	100	97	100	100	100	100	100	100	100	100	
0	14	0	2	0	0	0	100	0	0	2	0	8	0	0	
100	0	100	0	0	0	0	0	100	0	0	0	0	100	0	
11	100	100	2	2	100	0	100	100	100	100	0	0	100	0	
32	0	11	0	0	0	0	0	88	20	100	0	2	5	2	
29	73	64	73	97	73	64	32	73	73	64	100	97	73	73	
35	0	0	8	0	0	0	0	55	38	0	0	100	0	2	
94	2	2	0	0	100	100	100	0	47	100	2	0	100	0	
35	35	5	35	35	55	47	55	50	50	50	50	5	11	100	
2-6 and 14-29
104 of networks used
100	100	91	100	100	100	100	100	0	100	100	0	1	100	100	
54	89	39	16	3	40	89	0	0	88	0	54	67	34	89	
0	0	0	13	81	0	100	0	0	0	0	0	0	0	100	
100	100	6	100	100	100	100	100	0	100	100	100	100	100	100	
0	0	0	0	0	0	26	26	0	0	0	0	26	26	26	
0	0	2	0	21	100	0	82	1	0	0	21	22	0	0	
11	100	100	0	100	100	99	100	100	100	100	100	100	100	100	
0	17	1	2	0	0	0	100	0	0	6	0	7	0	0	
100	0	100	0	0	0	0	0	100	0	0	0	0	100	0	
9	100	100	1	0	100	0	100	100	100	100	0	0	100	0	
34	0	21	0	1	0	0	0	84	15	100	1	5	3	2	
27	70	59	72	92	70	57	30	70	72	58	100	93	70	72	
36	0	0	16	0	0	0	0	58	35	0	0	100	0	1	
85	0	4	3	0	100	100	100	0	52	100	0	0	100	0	
38	35	6	35	35	58	45	58	47	52	51	54	6	13	100	
